albumName,Title,Artist
Dion's Heroes: Giants of Early Guitar Rock,Summertime Blues,Dion
Dion's Heroes: Giants of Early Guitar Rock,"Come On, Let's Go",Dion
Dion's Heroes: Giants of Early Guitar Rock,Rave On,Dion
Dion's Heroes: Giants of Early Guitar Rock,Believe What You Say,Dion
Dion's Heroes: Giants of Early Guitar Rock,Bye Bye Love,Dion
Dion's Heroes: Giants of Early Guitar Rock,Be-Bop-A-Lula,Dion
Dion's Heroes: Giants of Early Guitar Rock,Runaway,Dion
Dion's Heroes: Giants of Early Guitar Rock,Jailhouse Rock,Dion
Dion's Heroes: Giants of Early Guitar Rock,I Walk the Line,Dion
Dion's Heroes: Giants of Early Guitar Rock,Blue Suede Shoes,Dion
Dion's Heroes: Giants of Early Guitar Rock,Who Do You Love,Dion
Dion's Heroes: Giants of Early Guitar Rock,Sweet Little Rock and Roller,Dion
Dion's Heroes: Giants of Early Guitar Rock,Dream Baby,Dion
Dion's Heroes: Giants of Early Guitar Rock,"Shake, Rattle and Roll",Dion
Dion's Heroes: Giants of Early Guitar Rock,The Wanderer,Dion
Christmas with the O'Jays,The First Noel,The O'Jays
Christmas with the O'Jays,Hark! The Herald Angels Sing,The O'Jays
Christmas with the O'Jays,Joy To The World,The O'Jays
Christmas with the O'Jays,Silent Night,The O'Jays
Christmas with the O'Jays,Jingle Bells,The O'Jays
Christmas with the O'Jays,I'm What You Want This Christmas,The O'Jays
Christmas with the O'Jays,"Oh, Holy Night",The O'Jays
Christmas with the O'Jays,What Child Is This (Greensleeves),The O'Jays
Christmas with the O'Jays,Cause It's Christmas,The O'Jays
Christmas with the O'Jays,We Wish You A Merry Christmas,The O'Jays
The Blind Boys of Alabama: Live in New Orleans,Amazing Grace,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Spirit in the Sky,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Down in the Hole,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,People Get Ready,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Free at Last,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,How I Got Over,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Make a Better World,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,You Better Mind,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Bourbon St. Parade,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Uncloudy Day,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,You Got to Move,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,If I Could Help Somebody,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Down by the Riverside,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Look Where He Brought Me From,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,Someone Watching Over Me,Blind Boys of Alabama
The Blind Boys of Alabama: Live in New Orleans,I'll Fly Away,Blind Boys of Alabama
A Hollywood Christmas,Rudolph The Red-Nosed Reindeer,Burl Ives
A Hollywood Christmas,Frosty The Snowman,Jimmy Durante
A Hollywood Christmas,Sleigh Ride,Ella Fitzgerald And The Frank DeVol Orchestra
A Hollywood Christmas,Let It Snow! Let It Snow! Let It Snow!,Lena Horne
A Hollywood Christmas,Christmas Time Is Here,Vince Guaraldi Trio
A Hollywood Christmas,All I Want For Christmas Is You,Olivia Olson
A Hollywood Christmas,Have Yourself A Merry Little Christmas,Judy Garland
A Hollywood Christmas,White Christmas,Bing Crosby
A Hollywood Christmas,That Spirit Of Christmas,Ray Charles
A Hollywood Christmas,"Merry Christmas, Baby",Charles Brown
A Hollywood Christmas,Santa Claus Is Coming To Town,The Jackson 5
A Hollywood Christmas,Holiday Road (Album Version),Lindsay Buckingham
Ultimate Rock Ballads: Love Hurts,Harden My Heart,Quarterflash
Ultimate Rock Ballads: Love Hurts,Don't Let the Sun Go Down on Me,Elton John
Ultimate Rock Ballads: Love Hurts,Lady,Styx
Ultimate Rock Ballads: Love Hurts,Your Love Is Driving Me Crazy,Sammy Hagar
Ultimate Rock Ballads: Love Hurts,Wind Of Change,Scorpions
Ultimate Rock Ballads: Love Hurts,Beth,Kiss
Ultimate Rock Ballads: Love Hurts,Melissa,Allman Brothers Band
Ultimate Rock Ballads: Love Hurts,More Than Words,Extreme
Ultimate Rock Ballads: Love Hurts,Don't You (Forget About Me),Simple Minds
Ultimate Rock Ballads: Love Hurts,You Belong to the City,Glen Frey
Ultimate Rock Ballads: Love Hurts,Love Song,Tesla
Ultimate Rock Ballads: Love Hurts,Do You Feel Like We Do,Peter Frampton
Ultimate Rock Ballads: Love Hurts,Nights in White Satin,The Moody Blues
Ultimate Rock Ballads: Love Hurts,I'm Not in Love,10 CC
Ultimate Rock Ballads: Love Hurts,I Can Dream about You,Dan Hartman
Ultimate Rock Ballads: Love Hurts,Sister Christian,Night Ranger
Ultimate Rock Ballads: Love Hurts,Tiny Dancer,Elton John
Ultimate Rock Ballads: Love Hurts,If I Could Turn Back Time,Cher
Ultimate Rock Ballads: Love Hurts,Come Sail Away,Styx
Ultimate Rock Ballads: Love Hurts,Love Hurts,Nazareth
Ultimate Rock Ballads: Love Hurts,Up Where We Belong - An Officer and a Gentleman,Joe Cocker and Jennifer Warnes
Ultimate Rock Ballads: Love Hurts,We're Ready,Boston
Ultimate Rock Ballads: Love Hurts,Rocky Mountain Way,Joe Walsh
Ultimate Rock Ballads: Love Hurts,Second Chance,38 Special
Ultimate Rock Ballads: Love Hurts,In a Big Country,Big Country
Ultimate Rock Ballads: Love Hurts,(Can't Live without Your) Love and Affection,Nelson
Ultimate Rock Ballads: Love Hurts,Sentimental Street,Night Ranger
Ultimate Rock Ballads: Love Hurts,Midnight Rider,Gregg Allman
Ultimate Rock Ballads: Love Hurts,"Baby, I Love Your Way",Peter Frampton
Ultimate Rock Ballads: Love Hurts,Free Bird,Lynyrd Skynyrd
Ultimate Rock Ballads: Love Hurts,Can't Fight This Feeling,REO Speedwagon 
Ultimate Rock Ballads: Love Hurts,Fooled Around and Fell in Love,Elvin Bishop
Legends: Rock On,Baby Hold On,Eddie Money
Legends: Rock On,Free Ride,Edgar Winter Group
Legends: Rock On,Cat Scratch Fever,Ted Nugent
Legends: Rock On,Paradise by the Dashboard Light,Meat Loaf
Legends: Rock On,House Is Rockin',Stevie Ray Vaughn
Legends: Rock On,Rock On,David Essex
Legends: Rock On,Telephone Line,Electric Light Orchestra
Legends: Rock On,I'd Love To Change The World,Ten Years After
Legends: Rock On,Heart Full of Soul,The Yardbirds
Legends: Rock On,Oye Como Va,Santana
Legends: Rock On,Heard It In A Love Song,Marshall Tucker Band
Legends: Rock On,Surrender,Cheap Trick
Legends: Rock On,Mississippi Queen,Mountain
Legends: Rock On,Don't Look Back,Boston
Legends: Rock On,Keep on Loving You,REO Speedwagon 
Legends: Rock On,Carry On Wayward Son,Kansas
Legends: Rock On,Down on Me,Big Brother & The Holding Company
Legends: Rock On,So You Want to Be a Rock 'N' Roll Star,The Byrds
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Behind Closed Doors,Charlie Rich
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Kiss an Angel Good Mornin',Charley Pride
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Don't It Make My Brown Eyes Blue,Crystal Gayle
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,He'll Have to Go,Jim Reeves
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,By the Time I Get to Phoenix,Glen Campbell
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,There's No Getting Over Me,Ronnie Milsap
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Are You Lonesome Tonight?,Elvis Presley
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Blue Eyes Crying in the Rain,Willie Nelson
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,500 Miles from Home,Bobby Bare 
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Stand By Your Man,Tammy Wynette
Country music of your Life Celebrates the '50s and '60s Nashville with Strings and Vocal Choirs,Islands In The Stream,Kenny Rogers & Dolly Parton
